scenario,t,unit,b,p_ch,p_dis,p_net,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess
summer_peak,17,0,29,0.0,0.11428908566814824,0.11428908566814824,0.31812864219628223,0.9499960550985492,8.500708568190001,147.89,8.797439433025081,8.611581329383435
summer_peak,18,0,29,0.0,0.11598954282056975,0.11598954282056975,0.1976494700963522,0.5902210363315962,8.50240905,146.66,8.79926439945775,8.611522847767821
summer_peak,19,0,29,0.0,0.055622734083841545,0.055622734083841545,0.07538136587324437,0.2251039067502091,8.442041945745,146.01,8.734495583845543,8.611887493538168
summer_peak,20,0,29,0.015250004428514694,0.0,-0.015250004428514694,0.016746751663805882,0.050009165809454977,8.36126905977,144.19,8.647889439715703,8.602031577111006
summer_peak,21,0,29,0.17145459752915404,0.0,-0.17145459752915404,0.018362166410622046,0.0548331188689111,8.082390042930001,141.65,8.349363651801713,8.473962627456634
summer_peak,22,0,29,0.1565139873485849,0.0,-0.1565139873485849,0.10073670125318407,0.30082003347287517,7.660670554050001,138.64,7.899374033405363,8.013965207670836
summer_peak,23,0,29,0.13339882385035207,0.0,-0.13339882385035207,0.14798626369604193,0.44191672195700343,7.25425540146,133.97,7.467333123115381,7.563502026158238
winter_peak,0,0,29,0.10417655638899226,0.0,-0.10417655638899226,0.16743682275779548,0.49999999999999867,6.988129998195,169.12,7.185277274140551,7.252783878198065
winter_peak,1,0,29,0.12213369426019538,0.0,-0.12213369426019538,0.1566013717827713,0.4676431659519169,6.544304245785001,154.23,6.71636014636136,6.80967370714369
winter_peak,2,0,29,0.12038607749746588,0.0,-0.12038607749746588,0.1617278368549673,0.4829518208456246,6.324942092295,144.06,6.48527082948815,6.579998198761929
winter_peak,3,0,29,0.12008265223647174,0.0,-0.12008265223647174,0.16418707703434368,0.490295606217537,6.1940049929250005,140.86,6.347544463587995,6.4438208717124095
winter_peak,4,0,29,0.12090077202917482,0.0,-0.12090077202917482,0.16584707233040644,0.49525268575572196,6.124285238715001,140.12,6.274273592431108,6.372372187268453
winter_peak,5,0,29,0.12161277033176976,0.0,-0.12161277033176976,0.1680876924430067,0.5019436276754734,6.152343188580001,140.76,6.303755317609902,6.4022028566249825
