bus,scenario,t,P_assumed,S_assumed,lhs_0,a_slope,q_star,gain_won
22,summer,0,0.0,0.3,0.004941204432848097,0.025,0.0,0.0
22,summer,0,0.0,1.0,0.004941204432848097,0.025,0.0,0.0
22,summer,0,0.0,2.4,0.004941204432848097,0.025,0.0,0.0
22,summer,0,0.1,0.3,0.004941204432848097,0.025,0.015368323592911749,4.932819859996041
22,summer,0,0.1,1.0,0.004941204432848097,0.025,0.01536832359241548,4.932819859996044
22,summer,0,0.1,2.4,0.004941204432848097,0.025,0.015368323592417504,4.932819859996054
22,summer,0,0.3,0.3,0.004941204432848097,0.025,0.0,0.0
22,summer,0,0.3,1.0,0.004941204432848097,0.025,0.03980631986575615,12.801139182282592
22,summer,0,0.3,2.4,0.004941204432848097,0.025,0.03980631986605453,12.8011391822826
22,summer,0,0.5,1.0,0.004941204432848097,0.025,0.05841030920697231,18.80459606323395
22,summer,0,0.5,2.4,0.004941204432848097,0.025,0.058410309206974764,18.804596063234197
22,summer,0,1.0,1.0,0.004941204432848097,0.025,0.0,0.0
22,summer,0,1.0,2.4,0.004941204432848097,0.025,0.0900379481280399,29.024219127398375
23,summer,0,0.0,0.3,0.0061590784515418665,0.025,0.0,0.0
23,summer,0,0.0,1.0,0.0061590784515418665,0.025,0.0,0.0
23,summer,0,0.0,2.4,0.0061590784515418665,0.025,0.0,0.0
23,summer,0,0.1,0.3,0.0061590784515418665,0.025,0.01927246763288925,7.687188629983991
23,summer,0,0.1,1.0,0.0061590784515418665,0.025,0.01927246763290149,7.6871886299839876
23,summer,0,0.1,2.4,0.0061590784515418665,0.025,0.01927246763325044,7.687188629983955
23,summer,0,0.3,0.3,0.0061590784515418665,0.025,0.0,0.0
23,summer,0,0.3,1.0,0.0061590784515418665,0.025,0.0498107982978067,19.92768667788102
23,summer,0,0.3,2.4,0.0061590784515418665,0.025,0.04981079829819712,19.927686677881017
23,summer,0,0.5,1.0,0.0061590784515418665,0.025,0.0730003271932113,29.255381125925183
23,summer,0,0.5,2.4,0.0061590784515418665,0.025,0.07300032719327405,29.255381125925034
23,summer,0,1.0,1.0,0.0061590784515418665,0.025,0.0,0.0
23,summer,0,1.0,2.4,0.0061590784515418665,0.025,0.11236655510273683,45.12226645679044
24,summer,0,0.0,0.3,0.006766530603257626,0.025,0.0,0.0
24,summer,0,0.0,1.0,0.006766530603257626,0.025,0.0,0.0
24,summer,0,0.0,2.4,0.006766530603257626,0.025,0.0,0.0
24,summer,0,0.1,0.3,0.006766530603257626,0.025,0.02124842342113273,9.294623327463636
24,summer,0,0.1,1.0,0.006766530603257626,0.025,0.021248423421246304,9.294623327463638
24,summer,0,0.1,2.4,0.006766530603257626,0.025,0.021248423421132704,9.294623327463619
24,summer,0,0.3,0.3,0.006766530603257626,0.025,0.0,0.0
24,summer,0,0.3,1.0,0.006766530603257626,0.025,0.05484767661335974,24.07954587048832
24,summer,0,0.3,2.4,0.006766530603257626,0.025,0.05484767661335974,24.07954587048832
24,summer,0,0.5,1.0,0.006766530603257626,0.025,0.08032402070293007,35.33794931193207
24,summer,0,0.5,2.4,0.006766530603257626,0.025,0.080324020703178,35.337949311931716
24,summer,0,1.0,1.0,0.006766530603257626,0.025,0.0,0.0
24,summer,0,1.0,2.4,0.006766530603257626,0.025,0.12353619311626245,54.48100987257634
25,summer,0,0.0,0.3,0.013188833428971161,0.025,0.0,0.0
